job_id,job_url,job_title,posted_date,employer_name,employer_link,location,region,salary,hours,employment_type,source,lmia,email,live_email_recovery
42097464,https://www.jobbank.gc.ca/jobsearch/jobposting/42097464,baker,2024-10-07,Stephano's Bakery,http://www.stephanosbakedgoods.com,Etobicoke,ON,18,35 to 40 hours per week,Permanent employmentFull time,Job Bank#3107574,FALSE,stephanobakery@hotmail.com,ra*****@gmail.com
42091066,https://www.jobbank.gc.ca/jobsearch/jobposting/42091066,restaurant manager,2024-10-06,Vesuvio's Ristorante,,Brampton,ON,22,35 hours per week,Permanent employmentFull time,Job Bank#3108052,FALSE,mtvesuvio1963@gmail.com,
42143750,https://www.jobbank.gc.ca/jobsearch/jobposting/42143750,retail store supervisor,2024-10-11,Petro Canada,,Orléans,ON,20,35 hours per week,Permanent employmentFull time,Job Bank#3116231,FALSE,gs_pabla@hotmail.com,
42066135,https://www.jobbank.gc.ca/jobsearch/jobposting/42066135,administrative assistant,2024-10-03,Indicate Immigration Consultancy Inc.,,Mississauga,ON,28.4,35 hours per week,Permanent employmentFull time,Job Bank#3104751,FALSE,jobsatindicateimmigration@gmail.com,
42066139,https://www.jobbank.gc.ca/jobsearch/jobposting/42066139,user support technician,2024-10-03,SAZZ INC.,,Mississauga,ON,30,35 hours per week,Permanent employmentFull time,Job Bank#3104757,FALSE,zaidizaki123@outlook.com,ha*****@gmail.com
42066608,https://www.jobbank.gc.ca/jobsearch/jobposting/42066608,administrative officer,2024-10-03,ZAM ZAM TIKKA & KABAB INC,https://www.zamzamtikkakabab.com,Scarborough,ON,29.5,37.5 hours per week,Permanent employmentFull time,Job Bank#3104875,FALSE,zamzamtikka@gmail.com,
42066155,https://www.jobbank.gc.ca/jobsearch/jobposting/42066155,employment agency general manager,2024-10-03,eTeam Incorporated,http://eteaminc.ca/,Mississauga,ON,85.47,30 to 40 hours per week,Permanent employmentFull time,Job Bank#3103791,FALSE,cv@eteaminc.com,
42066143,https://www.jobbank.gc.ca/jobsearch/jobposting/42066143,"project manager, construction",2024-10-03,W & M Wire & Metal Products Ltd.,,Woodbridge,ON,45,40 hours per week,Permanent employmentFull time,Job Bank#3104768,FALSE,info@wandm.ca,
42113276,https://www.jobbank.gc.ca/jobsearch/jobposting/42113276,housekeeper,2024-10-08,Ytem Household,,Mississauga,ON,28.5,30 hours per week,Permanent employmentFull time,Job Bank#3108470,FALSE,mykleayn@gmail.com,
42078081,https://www.jobbank.gc.ca/jobsearch/jobposting/42078081,real estate lawyer,2024-10-04,NANDA AND ASSOCIATE LAWYERS PC,http://www.nanda.ca,Mississauga,ON,65,30 hours per week,Permanent employmentFull time,Job Bank#3106438,FALSE,nandaresumescanada@gmail.com,
42096938,https://www.jobbank.gc.ca/jobsearch/jobposting/42096938,pizza cook,2024-10-07,Marcello's Pizzeria,http://www.marcellospizzeria.com/,Concord,ON,25,30 to 44 hours per week,Permanent employmentFull time,Job Bank#3108347,FALSE,marcellos@marcellospizzeria.ca,
42094040,https://www.jobbank.gc.ca/jobsearch/jobposting/42094040,food services manager,2024-10-07,TIM HORTONS,,York,ON,28.5,35 hours per week,Permanent employmentFull time,Job Bank#3108263,FALSE,taketims@gmail.com,
42061143,https://www.jobbank.gc.ca/jobsearch/jobposting/42061143,food service supervisor,2024-10-02,EMBASSY GRAND CONVENTION CENTRE,http://www.embassygrand.ca/,Brampton,ON,29,35 hours per week,Permanent employmentFull time,Job Bank#3103304,FALSE,jobs.embassygrand@gmail.com,
42078094,https://www.jobbank.gc.ca/jobsearch/jobposting/42078094,office administrator,2024-10-04,PLANET E,,Mississauga,ON,27,35 hours per week,Permanent employmentFull time,Job Bank#3106451,FALSE,hr.planeteltd@gmail.com,
42097862,https://www.jobbank.gc.ca/jobsearch/jobposting/42097862,administrative assistant,2024-10-07,ADR TRUCK & TRAILER REPAIR,,Woodbridge,ON,25,37.5 hours per week,Permanent employmentFull time,Job Bank#3108494,FALSE,randevkamal56@gmail.com,
42066625,https://www.jobbank.gc.ca/jobsearch/jobposting/42066625,food service supervisor,2024-10-03,KFC/Taco Bell/Pizza Hut,http://kfc.ca,Parry Sound,ON,17.2,40 hours per week,Permanent employmentFull time,Job Bank#3104888,FALSE,soul.careers@soulfoodsgroup.com,
42109886,https://www.jobbank.gc.ca/jobsearch/jobposting/42109886,automotive body repairer-painter,2024-10-08,Green Land  Auto Center,,Etobicoke,ON,26.5,35 to 40 hours per week,Permanent employmentFull time,Job Bank#3110605,FALSE,hrgreenlandautocenter@yahoo.com,
42113332,https://www.jobbank.gc.ca/jobsearch/jobposting/42113332,pizza cook,2024-10-08,PIZZA HUT,http://www.pizzahut.ca,Etobicoke,ON,17.5,35 hours per week,Permanent employmentFull time,Job Bank#3111417,FALSE,nsngroup2788@gmail.com,
42109888,https://www.jobbank.gc.ca/jobsearch/jobposting/42109888,mechanic helper,2024-10-08,Green Land  Auto Center,,Etobicoke,ON,22.5,35 to 40 hours per week,Permanent employmentFull time,Job Bank#3110607,FALSE,hrgreenlandautocenter@yahoo.com,
42098504,https://www.jobbank.gc.ca/jobsearch/jobposting/42098504,CNC (computer numerical control) machinist,2024-10-07,A'S PRECISION MACHINING LTD,http://www.asprecisionmachining.com,Mississauga,ON,29,35 hours per week,Permanent employmentFull time,Job Bank#3108663,FALSE,aabha@asprecisionmachining.com,
42066153,https://www.jobbank.gc.ca/jobsearch/jobposting/42066153,excavator operator,2024-10-03,7773226 Canada Inc.,,Ottawa,ON,30,37.5 hours per week,Term or contractFull time,Job Bank#3098224,FALSE,simon@nehmes.com,
42132644,https://www.jobbank.gc.ca/jobsearch/jobposting/42132644,social media coordinator,2024-10-10,CLUB ROMA (ST CATHARINES) INC.,,St. Catharines,ON,29,30 to 40 hours per week,Permanent employmentFull time,Job Bank#3113509,FALSE,clubroma.jobs@hotmail.com,in*****@mthcanada.com
42113323,https://www.jobbank.gc.ca/jobsearch/jobposting/42113323,marketing coordinator,2024-10-08,Coach House Marketing Inc.,,Toronto,ON,32.31,35 hours per week,Permanent employmentFull time,Job Bank#3111199,FALSE,alex@coachhousemarketing.com,
42078164,https://www.jobbank.gc.ca/jobsearch/jobposting/42078164,retail store supervisor,2024-10-04,Punjab Property Developments Inc,,Tillsonburg,ON,28.75,35 to 40 hours per week,Permanent employmentFull time,Job Bank#3106510,FALSE,ppdevelop@outlook.com,ch*****@gmail.com
42132646,https://www.jobbank.gc.ca/jobsearch/jobposting/42132646,general labourer - farm,2024-10-10,Nature Fresh Farms Inc.,http://www.naturefresh.ca,Leamington,ON,17.2,40 to 60 hours per week,Permanent employmentFull time,Job Bank#3113510,FALSE,Not found,
